# Coupling strength K	Order parameter |r|
3.000000e-02	6.329569e-02
3.000000e-02	6.338050e-02
3.000000e-02	6.341581e-02
3.000000e-02	6.356034e-02
3.000000e-02	6.363858e-02
3.000000e-02	6.370611e-02
3.000000e-02	6.383142e-02
3.000000e-02	6.402127e-02
3.000000e-02	6.413423e-02
3.000000e-02	6.423105e-02
3.000000e-02	6.429636e-02
3.000000e-02	6.432579e-02
3.000000e-02	8.357516e-03
3.000000e-02	8.992119e-03
3.500000e-02	3.010275e-02
3.500000e-02	3.143610e-02
3.500000e-02	3.261907e-02
3.500000e-02	3.364291e-02
3.500000e-02	3.450394e-02
3.500000e-02	3.520297e-02
3.500000e-02	3.549286e-02
3.500000e-02	3.550420e-02
3.500000e-02	3.558669e-02
3.500000e-02	3.565624e-02
3.500000e-02	3.574482e-02
3.500000e-02	3.575059e-02
3.500000e-02	3.595123e-02
3.500000e-02	3.598307e-02
3.500000e-02	3.613770e-02
3.500000e-02	3.615777e-02
3.500000e-02	3.634223e-02
3.500000e-02	3.639281e-02
3.500000e-02	3.647939e-02
3.500000e-02	3.651506e-02
3.500000e-02	3.652382e-02
3.500000e-02	3.654667e-02
3.500000e-02	3.727644e-02
3.500000e-02	3.828327e-02
3.500000e-02	3.867427e-02
3.500000e-02	3.954207e-02
3.500000e-02	3.959389e-02
3.500000e-02	4.075571e-02
3.500000e-02	4.104953e-02
3.500000e-02	4.215668e-02
3.500000e-02	4.279313e-02
3.500000e-02	4.378412e-02
3.500000e-02	4.475259e-02
3.500000e-02	4.561680e-02
3.500000e-02	4.690173e-02
3.500000e-02	4.762669e-02
3.500000e-02	4.921040e-02
3.500000e-02	4.978099e-02
3.500000e-02	5.164625e-02
3.500000e-02	5.204426e-02
3.500000e-02	5.417620e-02
3.500000e-02	5.438042e-02
3.500000e-02	5.675446e-02
3.500000e-02	5.676752e-02
3.500000e-02	5.913376e-02
3.500000e-02	5.938860e-02
3.500000e-02	6.148904e-02
3.500000e-02	6.200944e-02
3.500000e-02	6.379487e-02
3.500000e-02	6.460193e-02
3.500000e-02	6.602983e-02
3.500000e-02	6.714003e-02
3.500000e-02	6.817629e-02
3.500000e-02	6.959980e-02
3.500000e-02	7.022004e-02
3.500000e-02	7.195944e-02
3.500000e-02	7.214979e-02
3.500000e-02	7.395662e-02
3.500000e-02	7.419935e-02
3.500000e-02	7.563352e-02
3.500000e-02	7.630210e-02
3.500000e-02	7.717520e-02
3.500000e-02	7.825257e-02
3.500000e-02	7.857795e-02
3.500000e-02	7.983975e-02
3.500000e-02	8.003810e-02
3.500000e-02	8.096048e-02
3.500000e-02	8.164866e-02
3.500000e-02	8.194220e-02
3.500000e-02	8.278929e-02
3.500000e-02	8.307711e-02
3.500000e-02	8.350852e-02
3.500000e-02	8.410904e-02
3.500000e-02	8.431946e-02
3.500000e-02	8.460206e-02
3.500000e-02	8.500056e-02
3.500000e-02	8.531883e-02
3.500000e-02	8.537502e-02
3.500000e-02	8.557194e-02
3.500000e-02	8.577526e-02
