# Time (a.u.)	Order parameter |r|
"g(w): std dev = 0.262"
0.6550	4.3226652e-01
0.6560	4.3307931e-01
0.6570	4.3389259e-01
0.6580	4.3470635e-01
0.6590	4.3552059e-01
0.6600	4.3633531e-01
0.6610	4.3715050e-01
0.6620	4.3796617e-01
0.6630	4.3878232e-01
0.6640	4.3959894e-01
0.6650	4.4041602e-01
0.6660	4.4123358e-01
0.6670	4.4205160e-01
0.6680	4.4287009e-01
0.6690	4.4368904e-01
0.6700	4.4450846e-01
0.6710	4.4532833e-01
0.6720	4.4614866e-01
0.6730	4.4696944e-01
0.6740	4.4779068e-01
0.6750	4.4861237e-01
0.6760	4.4943451e-01
0.6770	4.5025710e-01
0.6780	4.5108013e-01
0.6790	4.5190360e-01
0.6800	4.5272751e-01
0.6810	4.5355186e-01
0.6820	4.5437665e-01
0.6830	4.5520187e-01
0.6840	4.5602752e-01
0.6850	4.5685360e-01
0.6860	4.5768011e-01
0.6870	4.5850704e-01
0.6880	4.5933439e-01
0.6890	4.6016215e-01
0.6900	4.6099034e-01
0.6910	4.6181894e-01
0.6920	4.6264794e-01
0.6930	4.6347736e-01
0.6940	4.6430718e-01
0.6950	4.6513741e-01
0.6960	4.6596803e-01
0.6970	4.6679905e-01
0.6980	4.6763046e-01
0.6990	4.6846227e-01
0.7000	4.6929446e-01
0.7010	4.7012703e-01
0.7020	4.7095999e-01
0.7030	4.7179333e-01
0.7040	4.7262704e-01
0.7050	4.7346113e-01
0.7060	4.7429558e-01
0.7070	4.7513040e-01
0.7080	4.7596558e-01
0.7090	4.7680112e-01
0.7100	4.7763702e-01
0.7110	4.7847327e-01
0.7120	4.7930987e-01
0.7130	4.8014682e-01
0.7140	4.8098411e-01
0.7150	4.8182173e-01
0.7160	4.8265969e-01
0.7170	4.8349799e-01
0.7180	4.8433661e-01
0.7190	4.8517555e-01
0.7200	4.8601482e-01
0.7210	4.8685440e-01
0.7220	4.8769430e-01
0.7230	4.8853450e-01
0.7240	4.8937501e-01
0.7250	4.9021582e-01
0.7260	4.9105693e-01
0.7270	4.9189833e-01
0.7280	4.9274002e-01
0.7290	4.9358200e-01
0.7300	4.9442426e-01
0.7310	4.9526679e-01
0.7320	4.9610960e-01
0.7330	4.9695268e-01
0.7340	4.9779602e-01
0.7350	4.9863962e-01
0.7360	4.9948348e-01
0.7370	5.0032759e-01
0.7380	5.0117195e-01
0.7390	5.0201655e-01
0.7400	5.0286138e-01
0.7410	5.0370646e-01
0.7420	5.0455176e-01
0.7430	5.0539728e-01
0.7440	5.0624303e-01
0.7450	5.0708899e-01
0.7460	5.0793517e-01
0.7470	5.0878155e-01
0.7480	5.0962813e-01
0.7490	5.1047491e-01
0.7500	5.1132188e-01
0.7510	5.1216904e-01
0.7520	5.1301638e-01
0.7530	5.1386390e-01
0.7540	5.1471159e-01
0.7550	5.1555945e-01
0.7560	5.1640748e-01
0.7570	5.1725566e-01
0.7580	5.1810399e-01
0.7590	5.1895247e-01
0.7600	5.1980110e-01
0.7610	5.2064986e-01
0.7620	5.2149876e-01
0.7630	5.2234778e-01
0.7640	5.2319693e-01
0.7650	5.2404619e-01
0.7660	5.2489556e-01
0.7670	5.2574504e-01
0.7680	5.2659462e-01
0.7690	5.2744430e-01
0.7700	5.2829407e-01
0.7710	5.2914393e-01
0.7720	5.2999386e-01
0.7730	5.3084387e-01
0.7740	5.3169395e-01
0.7750	5.3254409e-01
0.7760	5.3339429e-01
0.7770	5.3424454e-01
0.7780	5.3509484e-01
0.7790	5.3594518e-01
0.7800	5.3679556e-01
0.7810	5.3764597e-01
0.7820	5.3849640e-01
0.7830	5.3934685e-01
0.7840	5.4019732e-01
0.7850	5.4104779e-01
0.7860	5.4189827e-01
0.7870	5.4274874e-01
0.7880	5.4359921e-01
0.7890	5.4444966e-01
0.7900	5.4530009e-01
0.7910	5.4615049e-01
0.7920	5.4700086e-01
0.7930	5.4785119e-01
0.7940	5.4870148e-01
0.7950	5.4955172e-01
0.7960	5.5040191e-01
0.7970	5.5125203e-01
0.7980	5.5210209e-01
0.7990	5.5295207e-01
0.8000	5.5380198e-01
0.8010	5.5465180e-01
0.8020	5.5550153e-01
0.8030	5.5635117e-01
0.8040	5.5720070e-01
0.8050	5.5805012e-01
0.8060	5.5889944e-01
0.8070	5.5974863e-01
0.8080	5.6059769e-01
0.8090	5.6144663e-01
0.8100	5.6229543e-01
0.8110	5.6314408e-01
0.8120	5.6399259e-01
0.8130	5.6484094e-01
0.8140	5.6568912e-01
0.8150	5.6653715e-01
0.8160	5.6738499e-01
0.8170	5.6823266e-01
0.8180	5.6908015e-01
0.8190	5.6992744e-01
0.8200	5.7077454e-01
0.8210	5.7162143e-01
0.8220	5.7246812e-01
0.8230	5.7331459e-01
0.8240	5.7416084e-01
0.8250	5.7500686e-01
0.8260	5.7585266e-01
0.8270	5.7669821e-01
0.8280	5.7754352e-01
0.8290	5.7838858e-01
0.8300	5.7923338e-01
0.8310	5.8007792e-01
0.8320	5.8092220e-01
0.8330	5.8176620e-01
0.8340	5.8260992e-01
0.8350	5.8345336e-01
0.8360	5.8429650e-01
0.8370	5.8513935e-01
0.8380	5.8598189e-01
0.8390	5.8682413e-01
0.8400	5.8766605e-01
0.8410	5.8850765e-01
0.8420	5.8934893e-01
0.8430	5.9018987e-01
0.8440	5.9103047e-01
0.8450	5.9187074e-01
0.8460	5.9271065e-01
0.8470	5.9355021e-01
0.8480	5.9438941e-01
0.8490	5.9522824e-01
0.8500	5.9606670e-01
0.8510	5.9690478e-01
0.8520	5.9774248e-01
0.8530	5.9857979e-01
0.8540	5.9941670e-01
0.8550	6.0025322e-01
0.8560	6.0108933e-01
0.8570	6.0192503e-01
0.8580	6.0276031e-01
0.8590	6.0359517e-01
0.8600	6.0442960e-01
0.8610	6.0526360e-01
0.8620	6.0609716e-01
0.8630	6.0693027e-01
0.8640	6.0776294e-01
0.8650	6.0859515e-01
0.8660	6.0942690e-01
0.8670	6.1025818e-01
0.8680	6.1108900e-01
0.8690	6.1191933e-01
0.8700	6.1274918e-01
0.8710	6.1357855e-01
0.8720	6.1440743e-01
0.8730	6.1523580e-01
0.8740	6.1606368e-01
0.8750	6.1689104e-01
0.8760	6.1771789e-01
0.8770	6.1854422e-01
0.8780	6.1937003e-01
0.8790	6.2019531e-01
0.8800	6.2102006e-01
0.8810	6.2184427e-01
0.8820	6.2266793e-01
0.8830	6.2349104e-01
0.8840	6.2431360e-01
0.8850	6.2513560e-01
0.8860	6.2595704e-01
0.8870	6.2677791e-01
0.8880	6.2759820e-01
0.8890	6.2841791e-01
0.8900	6.2923704e-01
0.8910	6.3005558e-01
0.8920	6.3087353e-01
0.8930	6.3169088e-01
0.8940	6.3250763e-01
0.8950	6.3332377e-01
0.8960	6.3413929e-01
0.8970	6.3495420e-01
0.8980	6.3576849e-01
0.8990	6.3658215e-01
0.9000	6.3739517e-01
0.9010	6.3820757e-01
0.9020	6.3901932e-01
0.9030	6.3983043e-01
0.9040	6.4064088e-01
0.9050	6.4145069e-01
0.9060	6.4225983e-01
0.9070	6.4306831e-01
0.9080	6.4387612e-01
0.9090	6.4468326e-01
0.9100	6.4548973e-01
0.9110	6.4629551e-01
0.9120	6.4710061e-01
0.9130	6.4790502e-01
0.9140	6.4870874e-01
0.9150	6.4951175e-01
0.9160	6.5031407e-01
0.9170	6.5111568e-01
0.9180	6.5191657e-01
0.9190	6.5271675e-01
0.9200	6.5351622e-01
0.9210	6.5431496e-01
0.9220	6.5511297e-01
0.9230	6.5591025e-01
0.9240	6.5670679e-01
0.9250	6.5750260e-01
0.9260	6.5829766e-01
0.9270	6.5909197e-01
0.9280	6.5988553e-01
0.9290	6.6067834e-01
0.9300	6.6147038e-01
0.9310	6.6226167e-01
0.9320	6.6305218e-01
0.9330	6.6384192e-01
0.9340	6.6463089e-01
0.9350	6.6541908e-01
0.9360	6.6620648e-01
0.9370	6.6699310e-01
0.9380	6.6777893e-01
0.9390	6.6856396e-01
0.9400	6.6934820e-01
0.9410	6.7013163e-01
0.9420	6.7091426e-01
0.9430	6.7169608e-01
0.9440	6.7247709e-01
0.9450	6.7325728e-01
0.9460	6.7403665e-01
0.9470	6.7481520e-01
0.9480	6.7559292e-01
0.9490	6.7636980e-01
0.9500	6.7714586e-01
0.9510	6.7792108e-01
0.9520	6.7869545e-01
0.9530	6.7946898e-01
0.9540	6.8024167e-01
0.9550	6.8101350e-01
0.9560	6.8178447e-01
0.9570	6.8255459e-01
0.9580	6.8332385e-01
0.9590	6.8409224e-01
0.9600	6.8485976e-01
0.9610	6.8562641e-01
0.9620	6.8639219e-01
0.9630	6.8715709e-01
0.9640	6.8792111e-01
0.9650	6.8868424e-01
0.9660	6.8944648e-01
0.9670	6.9020783e-01
0.9680	6.9096829e-01
0.9690	6.9172785e-01
0.9700	6.9248651e-01
0.9710	6.9324427e-01
0.9720	6.9400112e-01
0.9730	6.9475706e-01
0.9740	6.9551209e-01
0.9750	6.9626620e-01
0.9760	6.9701939e-01
0.9770	6.9777166e-01
0.9780	6.9852300e-01
0.9790	6.9927342e-01
0.9800	7.0002290e-01
0.9810	7.0077145e-01
0.9820	7.0151907e-01
0.9830	7.0226574e-01
0.9840	7.0301147e-01
0.9850	7.0375626e-01
0.9860	7.0450010e-01
